Societe;CAHT;Effectif
TotalFinaElf;105 318;122 025
Carrefour;69 486;382 821
Vivendi Universal;57 360;321 000
PSA Peugeot Citroën;51 663;192 500
France Telecom;43 026;206 184
Suez;42 359;188 050
EDF;40 716;161 738
Les Mousquetaires;37 200;112 000
Renault;36 351;140 417
Saint-Gobain;30 390;173 329
Pinault-Printemps- La Redoute;27 799;115 935
Groupe Auchan;26 200;136 000
Alcatel Alsthom;25 353;99 314
Galec (Leclerc);25 000;75 000
Alstom;23 453;118 995
Aventis;22 941;91 729
Groupe Casino (Rallye);21 984;106 736
Bouygues;20 473;126 560
Airbus (EADS);20 427;2 000
SNCF;20 129;220 747
Vonci;17 172;129 499
La poste;17 028;313 854
Publicis Groupe;16 667;20 592
Michelin;15 775;127 467
Havas;14950;20 373
Usinor (Arcelor);14 523;59 516
Groupe Danone;14 470;100 560
Gaz de France;14 357;36 451
L'Oréal (Gespartal);13 740;49 150
Lafarge;13 698;82 892
